 ******* Program HYDRUS
 ******* 
 Replicate Fairfield dual perm model using runhydrus, add artificial KBr 
 Date:  31. 3.2026    Time:  18: 9:31
 Units: L = cm   , T = days , M = mmol 


 Time:     0.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]
  17   -28.00    -723.91 0.1786     -264.31 0.001944   0.102E-01  -0.708E-05 0.00000     0.172E-04   0.454E-02      20.000     0.263E+03   0.754E+03   0.000E+00   0.000E+00
  18   -29.75    -642.57 0.1839     -260.80 0.001958   0.127E-01   0.243E-04 0.00000     0.151E-04   0.410E-02      20.000     0.271E+03   0.731E+03   0.000E+00   0.000E+00
  19   -31.50    -575.13 0.1892     -253.57 0.001988   0.148E-01   0.462E-04 0.00000     0.141E-04   0.392E-02      20.000     0.277E+03   0.705E+03   0.000E+00   0.000E+00
  20   -33.25    -518.77 0.1943     -244.31 0.002027   0.167E-01   0.618E-04 0.00000     0.137E-04   0.380E-02      20.000     0.277E+03   0.679E+03   0.000E+00   0.000E+00
  21   -35.00    -471.86 0.1990     -234.50 0.002081   0.183E-01   0.708E-04 0.00000     0.136E-04   0.373E-02      20.000     0.275E+03   0.652E+03   0.000E+00   0.000E+00
  22   -36.75    -433.07 0.2038     -225.53 0.002135   0.196E-01   0.755E-04 0.00000     0.136E-04   0.376E-02      20.000     0.277E+03   0.626E+03   0.000E+00   0.000E+00
  23   -38.50    -400.36 0.2079     -217.23 0.002185   0.207E-01   0.792E-04 0.00000     0.135E-04   0.379E-02      20.000     0.280E+03   0.600E+03   0.000E+00   0.000E+00
  24   -40.25    -372.48 0.2120     -209.44 0.002232   0.216E-01   0.821E-04 0.00000     0.136E-04   0.382E-02      20.000     0.280E+03   0.574E+03   0.000E+00   0.000E+00
  25   -42.00    -349.02 0.2159     -202.08 0.002276   0.224E-01   0.844E-04 0.00000     0.139E-04   0.384E-02      20.000     0.276E+03   0.549E+03   0.000E+00   0.000E+00
  26   -43.75    -328.80 0.2194     -195.07 0.002318   0.229E-01   0.865E-04 0.00000     0.141E-04   0.385E-02      20.000     0.272E+03   0.526E+03   0.000E+00   0.000E+00
  27   -45.50    -310.72 0.2224     -188.50 0.002366   0.232E-01   0.844E-04 0.00000     0.143E-04   0.389E-02      20.000     0.271E+03   0.503E+03   0.000E+00   0.000E+00
  28   -47.25    -294.86 0.2258     -182.86 0.002415   0.235E-01   0.792E-04 0.00000     0.146E-04   0.396E-02      20.000     0.272E+03   0.481E+03   0.000E+00   0.000E+00
  29   -49.00    -281.17 0.2289     -177.87 0.002458   0.236E-01   0.758E-04 0.00000     0.148E-04   0.401E-02      20.000     0.271E+03   0.461E+03   0.000E+00   0.000E+00
